Provinsi,URL Produk,Nama Produk,Lokasi Toko,Harga (IDR),Unit Terjual,Volume Penjualan (IDR),Rating,Tahun
Jambi,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-kakap-merah-500-gram-ikan-kakap-merah-1735406238078502643-1735406253179504371?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,Ikan Laut Kakap Merah Bersih 1KG Segar Fresh -  Ikan Kakap Merah - Berkualitas - Bergaransi,Fish supplier bali,55000,7,385000,5.0,2024
Jambi,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-sulir-biru-500-gram-ikan-sulir-biru-1735384433288447731-1735384434163025651?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+jambi%26search_id%3D202606071528155737C6EC2E07162C5GFD%26src%3Dsearch,Ikan Laut Sulir Biru Bersih 1KG Segar Fresh - Ikan Sulir Biru - Berkualitas - Bergaransi,Fish supplier bali,30000,1,30000,0.0,2024
Sumatera Selatan,https://www.tokopedia.com/lapakabdicom/ikan-kembung-500gr-ikan-laut-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+palembang%26search_id%3D20260607152830320722549D1751104TEW%26src%3Dsearch,Ikan Kembung 500gr Ikan Laut Segar Garansi Termurah,0,23900,0,0,5.0,2024
Sumatera Selatan,https://www.tokopedia.com/pindo-ar/ikan-laut-kembung-banjar-segar-ikan-basah-berkualitas-1731642634635544334?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+palembang%26search_id%3D20260607152830320722549D1751104TEW%26src%3Dsearch,IKAN LAUT KEMBUNG BANJAR SEGAR / IKAN BASAH BERKUALITAS,0,88000,0,0,5.0,2024
Sumatera Selatan,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-baronang-hitam-500-gram-ikan-baronang-1735384277431125747-1735384289853409011?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+palembang%26search_id%3D20260607152830320722549D1751104TEW%26src%3Dsearch,Ikan Laut Baronang Bersih 1KG Segar Fresh - Ikan Baronang - Berkualitas - Bergaransi,Fish supplier bali,34000,1,34000,5.0,2024
Sumatera Selatan,https://www.tokopedia.com/rumah-buah-murah/ikan-segar-ikan-laut-ikan-gembung?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+palembang%26search_id%3D20260607152830320722549D1751104TEW%26src%3Dsearch,ikan segar ikan laut ikan gembung,0,25000,0,0,4.8,2024
Sumatera Selatan,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-jangki-merah-500-gram-ikan-jangki-merah-1735384342358755059-1735384361917777651?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+palembang%26search_id%3D20260607152830320722549D1751104TEW%26src%3Dsearch,Ikan Laut Jangki Merah Bersih 1KG Segar Fresh - Ikan Jangki Merah - Berkualitas - Bergaransi,Fish supplier bali,34000,1,34000,5.0,2024
Sumatera Selatan,https://www.tokopedia.com/lapakabdicom/ikan-selar-1kg-ikan-laut-seafood-segar-garansi-termurah?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+palembang%26search_id%3D20260607152830320722549D1751104TEW%26src%3Dsearch,Ikan Selar 1Kg Ikan Laut Seafood Segar Garansi Termurah,0,63000,9,567000,0.0,2024
Sumatera Selatan,https://www.tokopedia.com/fish-supplier-bali/fresh-frozen-ikan-laut-cunding-500-gram-ikan-cunding-1735384250051233523-1735384275888342771?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+palembang%26search_id%3D20260607152830320722549D1751104TEW%26src%3Dsearch,Ikan Laut Cunding Bersih 1KG Segar Fresh  - Ikan Cunding - Berkualitas - Bergaransi,Fish supplier bali,50000,0,0,0.0,2024
Sumatera Selatan,https://www.tokopedia.com/rakhis-farizqi-305/ikan-laut-mantap-dan-segar-1731215062737585942?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+palembang%26search_id%3D20260607152830320722549D1751104TEW%26src%3Dsearch,ikan laut mantap dan segar,0,100,0,0,0.0,2024
Sumatera Selatan,https://www.tokopedia.com/kemangba/ikan-laut-kembung-banjar-belo-layang-jumbo-ikan-segar?extParam=ivf%3Dfalse%26keyword%3Dikan+laut+segar+palembang%26search_id%3D20260607152830320722549D1751104TEW%26src%3Dsearch,Ikan Laut Kembung Banjar Belo Layang Jumbo - Ikan Segar,0,70600,10,706000,5.0,2024
